"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"C40","10u","Top","CAP_0805","49.2500mm","-19.2500mm","90","Capacitor SMD 0805 X5R 25V 10% 10uF"
"C13","10u","Top","CAP_0805","-30.0000mm","45.7500mm","0","Capacitor SMD 0805 X5R 25V 10% 10uF"
"C38","10u","Top","CAP_0805","49.2500mm","21.5000mm","90","Capacitor SMD 0805 X5R 25V 10% 10uF"
"X1","26MHz","Top","XTAL_2520","13.0000mm","-17.2500mm","180","Crystal Oscillator SMD CMOS 26MHz 25ppm 15pF"
"U1","BQ24192IRGER","Top","VQFN-24","63.5000mm","33.2500mm","90","Battery Charger With Boost Converter I2C USB 3.9V-17V 4.5A 1.5MHz"
"R25","0R","Top","RES_0603","-58.0000mm","34.5000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 0O"
"R62","0R","Top","RES_0603","13.0000mm","-21.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 0O"
"R61","0R","Top","RES_0603","9.7500mm","-18.0000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 0O"
"R24","0R","Top","RES_0603","-56.5000mm","28.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 0O"
"R17","220k","Top","RES_0603","60.7500mm","43.7500mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 220kO"
"R16","220k","Top","RES_0603","60.7500mm","46.7500mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 220kO"
"R15","270R","Top","RES_0603","68.2500mm","34.5000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 270O"
"R14","56k","Top","RES_0603","68.2500mm","36.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R13","56k","Top","RES_0603","68.2500mm","37.5000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R12","220k","Top","RES_0603","4.2500mm","39.2500mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 220kO"
"R11","220k","Top","RES_0603","62.2500mm","27.5000mm","90","Resistor SMD Thick Film 0603 75V 100mW 1% 220kO"
"R10","220k","Top","RES_0603","68.2500mm","31.5000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 220kO"
"R9","56k","Top","RES_0603","68.2500mm","33.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R8","56k","Top","RES_0603","68.2500mm","30.0000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R7","5k1","Top","RES_0603","66.7500mm","27.5000mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R6","5k1","Top","RES_0603","68.2500mm","27.5000mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
